曜日,開始時,推定クラスタ
土,5,3
土,6,1
土,7,3
土,8,3
土,9,6
土,10,3
土,11,3
土,12,3
土,13,3
土,14,3
土,15,3
土,16,3
土,17,3
土,18,3
土,19,1
土,20,2
土,21,3
土,22,3
土,23,1
土,24,1
日,5,1
日,6,1
日,7,3
日,8,3
日,9,3
日,10,3
日,11,3
日,12,3
日,13,3
日,14,3
日,15,3
日,16,3
日,17,3
日,18,3
日,19,1
日,20,3
日,21,1
日,22,7
日,23,1
日,24,5
月,5,3
月,6,1
月,7,3
月,8,3
月,9,3
月,10,3
月,11,3
月,12,3
月,13,2
月,14,3
月,15,7
月,16,4
月,17,3
月,18,3
月,19,3
月,20,3
月,21,1
月,22,5
月,23,5
月,24,5
木,5,3
木,6,3
木,7,3
木,8,3
木,9,3
木,10,3
木,11,3
木,12,3
木,13,3
木,14,3
木,15,4
木,16,3
木,17,3
木,18,3
木,19,3
木,20,3
木,21,3
木,22,5
木,23,2
木,24,3
水,5,3
水,6,1
水,7,3
水,8,3
水,9,3
水,10,3
水,11,3
水,12,3
水,13,3
水,14,3
水,15,3
水,16,3
水,17,3
水,18,3
水,19,3
水,20,3
水,21,1
水,22,5
水,23,5
水,24,1
火,5,3
火,6,3
火,7,3
火,8,3
火,9,3
火,10,4
火,11,4
火,12,6
火,13,3
火,14,3
火,15,7
火,16,3
火,17,3
火,18,3
火,19,3
火,20,3
火,21,1
火,22,2
火,23,1
火,24,4
金,5,1
金,6,3
金,7,3
金,8,3
金,9,3
金,10,3
金,11,7
金,12,3
金,13,3
金,14,3
金,15,1
金,16,3
金,17,3
金,18,3
金,19,3
金,20,2
金,21,3
金,22,3
金,23,3
金,24,1
